grid_id,flooded,pred_class,result_type
461,0,0,True Negative
3119,1,1,True Positive
4461,1,1,True Positive
4585,0,0,True Negative
1643,0,0,True Negative
1242,1,1,True Positive
723,1,0,False Negative
4187,0,0,True Negative
2128,0,0,True Negative
2308,0,0,True Negative
4175,0,0,True Negative
4516,0,0,True Negative
2440,0,0,True Negative
1790,0,0,True Negative
3906,0,0,True Negative
2789,0,0,True Negative
2844,0,0,True Negative
1859,0,1,False Positive
3936,0,0,True Negative
1976,0,0,True Negative
1670,0,1,False Positive
796,0,0,True Negative
38,0,0,True Negative
2837,0,0,True Negative
3496,0,0,True Negative
4572,0,0,True Negative
529,0,0,True Negative
2861,0,0,True Negative
1788,1,1,True Positive
2364,1,0,False Negative
2870,0,0,True Negative
843,0,0,True Negative
2862,0,0,True Negative
4412,0,0,True Negative
1255,0,0,True Negative
1324,0,0,True Negative
3694,1,0,False Negative
4298,0,0,True Negative
3105,0,0,True Negative
3829,0,1,False Positive
2779,0,0,True Negative
1100,0,0,True Negative
1403,0,0,True Negative
3568,0,0,True Negative
1453,1,1,True Positive
962,0,0,True Negative
4270,0,0,True Negative
189,0,1,False Positive
4402,0,0,True Negative
3795,0,0,True Negative
2175,0,0,True Negative
1098,0,0,True Negative
3141,0,0,True Negative
2042,0,0,True Negative
3986,0,0,True Negative
2741,0,0,True Negative
698,0,0,True Negative
832,0,0,True Negative
4600,0,0,True Negative
3469,0,0,True Negative
4326,1,0,False Negative
391,0,0,True Negative
2660,0,0,True Negative
2714,1,0,False Negative
3709,0,0,True Negative
4578,0,0,True Negative
2906,0,0,True Negative
4370,0,0,True Negative
1262,0,0,True Negative
4506,0,0,True Negative
2132,0,0,True Negative
2848,0,0,True Negative
917,1,1,True Positive
1529,0,0,True Negative
991,0,0,True Negative
186,1,1,True Positive
3557,0,0,True Negative
400,0,0,True Negative
3714,0,0,True Negative
3053,1,1,True Positive
984,1,1,True Positive
1205,0,0,True Negative
2646,0,0,True Negative
1193,0,0,True Negative
2926,1,1,True Positive
2571,0,0,True Negative
2654,0,0,True Negative
2055,0,0,True Negative
2776,0,0,True Negative
3001,0,0,True Negative
1381,0,0,True Negative
845,0,0,True Negative
2359,1,0,False Negative
4310,0,0,True Negative
4007,0,0,True Negative
3456,1,1,True Positive
3800,0,0,True Negative
177,0,1,False Positive
707,0,0,True Negative
183,0,0,True Negative
4048,0,0,True Negative
2849,0,0,True Negative
1456,0,0,True Negative
4110,0,0,True Negative
4031,0,0,True Negative
440,0,0,True Negative
2841,0,0,True Negative
3571,1,0,False Negative
2793,1,1,True Positive
4344,0,0,True Negative
516,1,0,False Negative
2386,0,0,True Negative
2667,0,0,True Negative
1799,0,0,True Negative
1334,0,0,True Negative
2875,0,0,True Negative
304,0,0,True Negative
2247,0,0,True Negative
3760,1,1,True Positive
1572,0,0,True Negative
1326,0,0,True Negative
4444,0,0,True Negative
390,0,0,True Negative
1526,0,0,True Negative
