grid_id,flooded,pred_class,result_type
4273,0,0,True Negative
1710,0,0,True Negative
2236,1,0,False Negative
3200,0,0,True Negative
3922,0,0,True Negative
2237,0,0,True Negative
3430,0,0,True Negative
1706,0,0,True Negative
2378,1,1,True Positive
2172,0,0,True Negative
2765,0,0,True Negative
524,0,0,True Negative
1587,0,0,True Negative
319,1,1,True Positive
921,0,0,True Negative
597,0,0,True Negative
3437,1,0,False Negative
1201,0,0,True Negative
3280,0,0,True Negative
4325,0,0,True Negative
1933,0,0,True Negative
4403,0,0,True Negative
2039,1,0,False Negative
1318,1,0,False Negative
4123,0,0,True Negative
2067,0,0,True Negative
1839,0,0,True Negative
4528,1,0,False Negative
4122,0,0,True Negative
369,0,0,True Negative
3325,0,0,True Negative
1707,0,0,True Negative
3636,1,0,False Negative
3193,0,0,True Negative
2808,0,0,True Negative
658,0,0,True Negative
3701,1,1,True Positive
4579,0,0,True Negative
2995,0,0,True Negative
969,0,0,True Negative
2562,0,0,True Negative
3312,0,0,True Negative
330,1,1,True Positive
2675,0,0,True Negative
989,0,0,True Negative
3778,0,0,True Negative
4369,0,0,True Negative
1321,1,1,True Positive
2799,0,0,True Negative
628,0,0,True Negative
1247,0,0,True Negative
3651,0,0,True Negative
1132,0,0,True Negative
4390,0,0,True Negative
1115,0,0,True Negative
3249,0,0,True Negative
3624,0,0,True Negative
4265,0,0,True Negative
2934,0,0,True Negative
4591,0,0,True Negative
3394,0,0,True Negative
919,0,0,True Negative
457,0,0,True Negative
2109,1,0,False Negative
1244,0,1,False Positive
2374,0,0,True Negative
761,0,0,True Negative
2778,0,0,True Negative
3845,0,0,True Negative
4574,0,0,True Negative
2316,0,0,True Negative
4466,0,0,True Negative
239,0,0,True Negative
4057,0,0,True Negative
1658,0,0,True Negative
2966,0,0,True Negative
2507,0,0,True Negative
3501,0,0,True Negative
2895,0,0,True Negative
2986,1,0,False Negative
3876,0,0,True Negative
2996,0,0,True Negative
1989,0,0,True Negative
2187,1,1,True Positive
3439,1,1,True Positive
3776,0,0,True Negative
