Shape_Length,Shape_Area,grid_id,DEMMEAN,SLPMEAN,FACSUM,DISTMEAN,PCT,DEMAREA,INUNMAX,INUNAREA
2000.000000000000000,250000.000000000000000,37,1084.600000000000136,8.284683525562286,19.000000000000000,219.532002563476652,0.040000000000000,25000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,38,1071.878048780487688,2.838654511878567,751.000000000000000,154.709504470825237,0.020000000000000,102500.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,39,1068.400000000000318,2.264844988286494,172.000000000000000,142.011824111938466,0.000000000000000,100000.000000000000000,1.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,40,1070.425000000000182,0.669619717200597,94.000000000000000,157.215381851196355,0.050000000000000,100000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,41,1065.181818181818244,0.822257578372955,28.000000000000000,303.023120346069504,0.040000000000000,55000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,42,1058.750000000000227,0.807291358709335,21.000000000000000,219.629164276123049,0.050000000000000,50000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,43,1059.150000000000091,0.907130223512649,1.000000000000000,414.560956573486408,0.060000000000000,50000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,44,1056.277777777777374,1.968527778983116,32.000000000000000,400.015223083496096,0.200000000000000,45000.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,45,1039.263157894736651,4.871793084674412,15.000000000000000,143.881727752685549,0.030000000000000,47500.000000000000000,0.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,46,1026.100000000000136,,5.000000000000000,193.655862960815398,0.170000000000000,25000.000000000000000,1.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,53,981.000000000000000,,0.000000000000000,67.684691543579106,0.030000000000000,2500.000000000000000,1.000000000000000,250000.000000000000000
2000.000000000000000,250000.000000000000000,54,981.000000000000114,0.416121428606111,577.000000000000000,111.707747268676798,0.000000000000000,227500.000000000000000,1.000000000000000,250000.000000000000000
